C,MECHRAA BEL KSIRI,KENITRA,X,,X,,X,,,X,X,X,X,,,,,
C,BELKSIRI,KENITRA,X,,X,,X,,,X,X,X,X,,,,,
C,JORF EL MELHA,KENITRA,X,,X,,X,,,X, ,X, ,,,,,
C,SOUK TLET GHARB,KENITRA,X,,X,,X,,,X,X,X,X,,,,,
C,DAR EL GUEDDARI,KENITRA,X,,X,,X,,, ,X, ,X,,,,,
C,El Mudzine ,KENITRA,X,,X,,X,,,X,X,X,X,,,,,
A,LARACHE                                           ,LARACHE,X,X,X,X,X,X,,X,X,X,X,,,,,
B,KSAR EL KEBIR                                     ,LARACHE,X,X,X,X,,,,X,X,X,X,,,,,
A,LAOUAMRA                                          ,LARACHE,X,X,X,X,,X,,X,X,X,X,,,,,
B,SOUK LARBAA                                       ,LARACHE,X,,,X,,,,X,X,X,X,,,,,
C,ASILAH                                            ,LARACHE,,X,,,,,,X,X,X,X,,,,,
C,MOULAY BOUSSELHAM,LARACHE,X,X,X,,X,,,X,X,X,X,,,,,
C,OUAZZANE,LARACHE,,,X,,,,,X,X,X,X,,,,,
C,CHEFCHAOUEN                                       ,LARACHE,,,X,,,,,X,,X,,,,,,
C,LALA MIMOUNA,LARACHE,,X,,X,,,,X,,X,,,,,,
